id;first_name;last_name;email;phone;address_line_1;address_line_2;city;status;commission_rate
1;Valentine;Petit;Bernard_Dupuis4@gmail.com;0543153652;protocol;Rubber white;Bertrandburgh;ACTIVE;22953
2;Eusébie;Benoit;Roselin.Louis@gmail.com;+33 117039912;withdrawal;niches Saint-Dominique;Lerouxberg;INACTIVE;1582
3;Charlemagne;Martin;Philmon.Rousseau99@gmail.com;0690051511;blue virtual Music;Poitou-Charentes envisioneer;Fleuryville;INACTIVE;84987
4;Colin;Duval;Juliette.Thomas@hotmail.fr;0271088081;user-facing;violet orchestrate Computer;North Cléandre;INACTIVE;59791
5;René;Guerin;Anceline_Fleury5@gmail.com;+33 536090944;a;cross-platform d'Azur;Colombes;ACTIVE;44916
6;Capucine;Carpentier;Anglique58@yahoo.fr;+33 457067951;des;conglomeration SDD;Port Ernest;PENDING;51038
7;Aure;Marchand;Conception.Dupuy50@hotmail.fr;0596240110;index;Jamaïque Leone Credit;North Léonieshire;PENDING;75654
8;Alexandre;Garcia;Pascale_Robin66@gmail.com;0608676856;networks Soft Tasty;invoice;Port Éloïseside;INACTIVE;5813
9;Dorian;Berger;Hermine.Baron@gmail.com;0430807092;Personal revolutionize;methodologies deposit;Scholastiquetown;PENDING;76988
10;Mamert;Muller;Brieuc.Roussel33@hotmail.fr;+33 517316961;azure open-source monitor;Haute-Normandie d'Assas;Thomasbury;INACTIVE;15753
