id;first_name;last_name;email;phone;address_line_1;address_line_2;city;status;commission_rate
1;Cassandre;Carpentier;Doriane_Thomas35@gmail.com;0141943942;rich c connecting;b;Audreyside;ACTIVE;43973
2;Sidoine;Roger;Alcyone_Marie@gmail.com;+33 313324529;next-generation c Joubert;initiative stable;Saint-Étienne;INACTIVE;89424
3;Briac;Perrin;Ins_Martin@hotmail.fr;0748354799;HTTP withdrawal;driver Loan;Annabellestad;PENDING;1038
4;Chilpéric;Rousseau;Job.Guillot@yahoo.fr;+33 398840509;d'Orsel de;Nord-Pas-de-Calais visionary Account;Fernandezland;ACTIVE;54156
5;Florestan;Renard;Nicolas.Barre@yahoo.fr;0644552905;Optional ubiquitous;dynamic Practical;Baronview;ACTIVE;88257
6;Carloman;Paul;Titien_Laurent79@gmail.com;+33 731402003;Comores installation;bandwidth-monitored;East Joséphineborough;INACTIVE;30679
7;Mélodie;Gaillard;Olympe.Nguyen@gmail.com;+33 179722775;explicit Haute-Normandie;invoice;Jourdaintown;PENDING;81225
8;Ombline;Fabre;Arthme.Adam@gmail.com;0742662018;holistic;microchip;Perrineton;ACTIVE;61107
9;Sylvie;Marchand;Alban.Lopez90@hotmail.fr;+33 550647760;Industrial;models lavender moderator;Carpentiermouth;ACTIVE;58614
10;Bénédicte;Moreau;Clotilde60@hotmail.fr;0452135134;Baby;redundant Afrique;Pierreview;ACTIVE;61921
