id;first_name;last_name;email;phone;address_line_1;address_line_2;city;status;commission_rate
1;Edgard;Adam;Corentin73@hotmail.fr;0364325556;architect vertical;invoice radical;Lorrainland;ACTIVE;17967
2;Aline;Leroy;Vital.Gauthier83@gmail.com;0211599754;Chips;explicit ivory;Lake Tanguymouth;ACTIVE;97770
3;Abigaelle;Da silva;Nomie30@gmail.com;+33 207791374;Intelligent;Bacon Peso;Arnaudtown;INACTIVE;56081
4;Albéric;Moulin;Mireille_Fernandez@hotmail.fr;+33 220834534;Health synergies capacitor;exploit;Nestorland;INACTIVE;60344
5;Angoustan;Robert;Olive_Lucas3@gmail.com;0477427912;Centralized connecting a;magnetic Refined;South Auriane;INACTIVE;72364
6;Auriane;Guerin;Audrey22@gmail.com;0646762727;white;transmitter;South Thierry;ACTIVE;48313
7;Thomas;Pons;Sidoine41@yahoo.fr;+33 188098563;Bacon Practical Ball;Refined Grocery Right-sized;Gabinmouth;PENDING;38456
8;Matthias;Joly;Thodose81@gmail.com;+33 460593364;bypassing virtual Cambridgeshire;Cheese mesh;Brest;PENDING;75236
9;France;Le roux;Mgane97@yahoo.fr;0781670048;Liechtenstein Vanuatu;Bike;Giraudtown;INACTIVE;99036
10;Aliénor;Dumont;Honorine35@hotmail.fr;0760097813;a Cambridgeshire Investment;platforms Persevering;Ajaccio;PENDING;16992
